filename,class,rise_time,decay_time,zcr,even_components,odd_components,spectral_centroid,spectral_irregularity
a5.wav,g_elektryczna,0.021927,0.000204,0.044000,19.145201,19.499628,2995.762833,0.829184
b3.wav,g_elektryczna,0.029841,0.001088,0.011000,18.817734,20.528223,2216.725521,0.900691
c4.wav,g_elektryczna,0.042245,0.001088,0.012000,17.435899,18.916494,1751.263522,0.900432
c6.wav,g_elektryczna,0.006213,0.000136,0.058000,15.662419,16.913658,2959.495621,0.900972
c_6.wav,g_elektryczna,0.014422,0.000295,0.050000,15.604273,16.570057,2729.284858,0.846020
cis4.wav,g_elektryczna,0.027551,0.001247,0.012000,17.819417,17.278339,2121.241014,0.826623
cis5.wav,g_elektryczna,0.021043,0.000499,0.025000,17.905561,19.925533,2372.253442,0.908129
cis6.wav,g_elektryczna,0.011066,0.000159,0.052000,16.089479,14.139012,3453.077062,0.928700
d5.wav,g_elektryczna,0.018481,0.000363,0.035000,18.568455,16.319580,2362.606409,0.941729
dis4.wav,g_elektryczna,0.034580,0.000952,0.014000,22.098726,20.669163,2040.684833,0.883712
dis5.wav,g_elektryczna,0.019456,0.000340,0.058000,16.144437,16.778790,2690.950221,0.812557
e4.wav,g_elektryczna,0.021973,0.000816,0.015000,24.785852,26.209426,2231.078763,0.861887
e5.wav,g_elektryczna,0.024444,0.000476,0.038000,16.684644,18.526863,2560.038734,0.904444
f3.wav,g_elektryczna,0.043900,0.001224,0.008000,22.511209,22.187357,1560.518686,0.822115
fis2.wav,g_elektryczna,0.080249,0.001859,0.004000,16.741113,12.972124,1489.974636,0.872482
fis4.wav,g_elektryczna,0.017256,0.000816,0.017000,21.966354,22.288815,1918.287918,0.801988
fis5.wav,g_elektryczna,0.012925,0.000295,0.036000,15.909516,17.634385,2476.515343,0.949173
g3.wav,g_elektryczna,0.033900,0.000975,0.009000,18.768214,16.213809,1625.019474,0.983862
g4.wav,g_elektryczna,0.023605,0.000748,0.018000,18.873835,16.402285,1863.380293,0.974302
g5.wav,g_elektryczna,0.013605,0.000544,0.053000,25.141773,24.436971,2489.951608,0.883683
gis4.wav,g_elektryczna,0.018163,0.000635,0.019000,19.447347,19.070304,2172.439142,0.809902
gis5.wav,g_elektryczna,0.008095,0.000249,0.053000,21.820612,22.624899,2565.364510,0.859510
h2.wav,g_elektryczna,0.065669,0.001224,0.006000,14.503846,15.847241,2358.503722,0.735304
A2.wav,kontrabas,0.024580,0.002200,0.005000,51.441543,47.125826,555.890494,0.631615
A3.wav,kontrabas,0.021338,0.001474,0.010000,36.676281,35.088222,936.100065,0.824671
B2.wav,kontrabas,0.025125,0.001837,0.005000,39.838801,40.405744,664.631389,0.640852
b3.wav,kontrabas,0.030771,0.001383,0.010000,38.005878,38.609863,892.838762,0.842491
c3.wav,kontrabas,0.027800,0.002336,0.007000,29.562764,29.801549,752.768577,0.695923
c4.wav,kontrabas,0.013991,0.001247,0.010000,46.462017,46.129650,788.633293,0.894495
cis3.wav,kontrabas,0.020544,0.002245,0.010000,23.644492,25.122167,653.034411,0.788432
cis4.wav,kontrabas,0.023016,0.001519,0.012000,59.007290,56.989010,816.797998,0.823179
